"garden_yr","garden_yr_richness","garden_yr_diversity","garden_yr_total_cover","garden_yr_wild_richness","garden_yr_wild_diversity","garden_yr_wild_total_cover","garden_yr_cult_richness","garden_yr_cult_diversity","garden_yr_cult_total_cover","garden","city","impervious_1000","year","round","garden_yr_beta","garden_yr_beta_wild","garden_yr_beta_cult"
"KF_2022",7.56666666666667,4.55837863333333,28.0333333333333,5.43333333333333,3.91838474293992,16.4666666666667,1.73333333333333,1.12769346070683,10.0666666666667,"KF","Berlin",23.85,2022,1,0.952152088103259,0.949846532736646,0.96499927698425
"KF_2023",10.7826086956522,5.27896465217391,52.0869565217391,8.78260869565217,4.48373344496446,38.3913043478261,1.60869565217391,1.23437725861548,14.7826086956522,"KF","Berlin",23.85,2023,1,0.930551611951576,0.92021581938247,0.94792329532778
"KGP_2022",6.9375,3.71555953125,39.75,5.78125,3.44452388471166,25.8125,1.15625,0.843054481289643,13.9375,"KGP","Munich",53.37,2022,1,0.936202890953069,0.917879388951141,0.911439413078674
"KGP_2023",5.7,3.11873705,49.65,3.2,2.20735312340427,17.85,1.75,1.20271783860141,25.6,"KGP","Munich",53.37,2023,1,0.945152728949384,0.901841542648188,0.916053093163189
"KG_2021",8.82051282051282,Inf,56.8974358974359,7.61538461538461,4.92385242687284,36.6153846153846,1.12820512820513,0.920559208665869,20.8717948717949,"KG","Munich",9.57,2021,1,0.880202274155753,0.851338447454042,0.895294885762514
"KG_2022",7.45945945945946,3.87021343243243,45.0810810810811,5.91891891891892,3.85923908574691,23.1081081081081,1.43243243243243,1.16955366435805,21.6216216216216,"KG","Munich",9.57,2022,1,0.929878037385963,0.899528704236602,0.92013419383955
"KG_2023",6.72,3.57615524,34.96,6,4.24728697181556,27,0.68,0.580002326629116,7.92,"KG","Munich",9.57,2023,1,0.930246185327401,0.908388856070039,0.851868520436273
"KLG_2020",16.1428571428571,6.18710878008925,52.2142857142857,11.4285714285714,6.45624268848051,24.5714285714286,4.71428571428571,2.6757769477358,29.1428571428571,"KLG","Berlin",96.16,2020,1,0.929910220584659,0.882550949513221,0.944702522363759
"KLG_2021",9.11764705882353,5.14426274037143,56.3529411764706,4.47058823529412,3.19916986830931,19.3529411764706,4.29411764705882,2.83723299927691,34.4705882352941,"KLG","Berlin",96.16,2021,1,0.938491465135228,0.934366853317612,0.950462707597408
"KLG_2022",9.15384615384615,5.44361415384615,40.9230769230769,5,3.25614763111127,13.3846153846154,2.07692307692308,1.43013848701332,18.0769230769231,"KLG","Berlin",96.16,2022,1,0.933498382519979,0.926110651978544,0.94267228062056
