"Species","Cultivated","Wild"
"Euphorbia.sp.",NA,"X"
"Euphrasia.sp.",NA,"X"
"Euryops.chrysanthemoides","X",NA
"Fagopyrum.esculentum","X","X"
"Fagus.sylvatica",NA,"X"
"Falcaria.vulgaris",NA,"X"
"Fallopia.convolvulus","X","X"
"Fallopia.dumetorum",NA,"X"
"Fallopia.sp.",NA,"X"
"Felicia.amelloides","X",NA
"Ficaria.verna","X","X"
"Filipendula.sp.","X",NA
"Filipendula.ulmaria","X","X"
"Filipendula.vulgaris","X",NA
"Foeniculum.sp.","X",NA
"Foeniculum.vulgare","X","X"
"Fragaria.sp.","X","X"
"Fragaria.vesca","X","X"
"Fragaria.x.ananassa","X","X"
"Fraxinus.excelsior",NA,"X"
"Fraxinus.sp.",NA,"X"
"Fritillaria.imperalis","X",NA
"Fumaria.capreolata",NA,"X"
"Fumaria.officinalis",NA,"X"
"Fumaria.sp.","X","X"
"Gagea.pratensis",NA,"X"
"Gagea.sp.","X",NA
"Gaillardia.pulchella","X",NA
"Gaillardia.sp.","X",NA
"Gaillardia.x.grandiflora","X",NA
"Galanthus.nivalis","X",NA
"Galega.officinalis","X","X"
"Galeopsis.pubescens",NA,"X"
"Galeopsis.sp.",NA,"X"
"Galeopsis.tetrahit","X","X"
"Galinsoga.parviflora","X","X"
"Galinsoga.quadriradiata",NA,"X"
"Galinsoga.sp.","X","X"
"Galium.album",NA,"X"
"Galium.aparine",NA,"X"
"Galium.mollugo",NA,"X"
"Galium.odoratum","X","X"
"Galium.sp.",NA,"X"
"Galium.spurium",NA,"X"
"Galium.verum",NA,"X"
"Gaura.lindheimeri","X",NA
"Gentiana.sp.","X",NA
"Geranium.argenteum","X","X"
"Geranium.columbinum",NA,"X"
"Geranium.dissectum",NA,"X"
"Geranium.endressii","X",NA
"Geranium.macrorrhizum","X","X"
"Geranium.molle","X","X"
"Geranium.phaeum",NA,"X"
"Geranium.pratense","X","X"
"Geranium.pusillum","X","X"
"Geranium.pyrenaicum",NA,"X"
"Geranium.robertianum","X","X"
"Geranium.sanguineum","X","X"
"Geranium.sp.","X","X"
"Geranium.sylvaticum","X",NA
"Geum.sp.","X","X"
"Geum.urbanum","X","X"
"Ginkgo.biloba","X",NA
"Gladiolus.communis","X",NA
"Gladiolus.hortulanus","X",NA
"Glebionis.coronaria","X",NA
"Glechoma.hederacea","X","X"
"Gleditsia.triacanthos","X","X"
"Glycine.max","X",NA
"Graptopetalum.sp.","X",NA
"Guizotia.abyssinica",NA,"X"
"Gynostemma.pentaphyllum","X",NA
"Gypsophila.elegans",NA,"X"
"Gypsophila.paniculata","X",NA
"Gypsophila.sp.","X",NA
"Gypsophilia.repens","X",NA
"Hedera.helix","X","X"
"Helianthus.annuus","X","X"
"Helianthus.debilis","X",NA
"Helianthus.tuberosus","X","X"
"Helichrysum.bracteatum","X","X"
"Helichrysum.italicum","X",NA
"Heliopsis.helianthoides","X",NA
"Helleborus.niger","X",NA
"Helleborus.sp.","X",NA
"Helminthotheca.echioides",NA,"X"
"Hemerocallis.fulva","X",NA
"Hemerocallis.minor","X",NA
"Hemerocallis.sp.","X","X"
"Hepatica.nobilis","X",NA
"Heracleum.sphondylium",NA,"X"
"Herniaria.glabra",NA,"X"
"Herniaria.hirsuta",NA,"X"
"Herniaria.sp.",NA,"X"
"Hesperis.matronalis","X",NA
"Heuchera.micrantha","X",NA
"Heuchera.sanguinea","X","X"
"Heuchera.sp.","X",NA
"Hieracium.aurantiacum","X","X"
"Hieracium.pilosella",NA,"X"
"Hieracium.sp.","X","X"
"Hieracium.villosum",NA,"X"
"Hippocrepis.emerus",NA,"X"
"Honckenya.peploides",NA,"X"
"Hosta.plantaginea","X",NA
"Houttuynia.cordata","X",NA
"Humulus.lupulus","X","X"
"Hyacinthoides.sp.","X",NA
"Hyacinthus.orientalis","X",NA
"Hyacinthus.sp.","X",NA
"Hydrangea.macrophylla","X",NA
"Hydrangea.paniculata","X",NA
"Hydrangea.sp.","X",NA
"Hydrocotyle.vulgaris",NA,"X"
"Hylotelephium.anacampseros","X",NA
"Hylotelephium.sieboldii","X",NA
"Hylotelephium.sp.","X",NA
"Hylotelephium.telephium","X",NA
"Hypericum.androsaemum","X",NA
"Hypericum.humifusum",NA,"X"
"Hypericum.maculatum",NA,"X"
"Hypericum.montanum",NA,"X"
"Hypericum.perforatum","X","X"
"Hypericum.pulchrum",NA,"X"
"Hypericum.sp.","X","X"
"Hypericum.tetrapterum",NA,"X"
"Hypochaeris.maculata",NA,"X"
"Hypochaeris.radicata",NA,"X"
"Hypochaeris.sp.",NA,"X"
"Hyssopus.officinalis","X",NA
"Iberis.amara",NA,"X"
"Iberis.sp.","X",NA
"Ilex.aquifolium",NA,"X"
"Ilex.sp.",NA,"X"
"Inula.helenium","X",NA
"Ipomoea.aquatica","X",NA
"Ipomoea.batatas","X","X"
"Ipomoea.purpurea","X","X"
"Ipomoea.sp.","X","X"
"Ipomoea.violacea","X",NA
"Iris.germanica","X",NA
"Iris.pratensis","X",NA
"Iris.pseudacorus","X",NA
"Iris.sibirica","X",NA
"Iris.sp.","X",NA
"Isatis.tinctoria","X",NA
"Ismelia.carinata","X",NA
"Iva.xanthiifolia","X","X"
"Juglans.regia",NA,"X"
"Juniperus.communis","X",NA
"Kalanchoe.daigremontiana","X",NA
"Knautia.arvensis","X",NA
"Knautia.sp.","X",NA
"Kniphofia.sp.","X",NA
"Lactuca.muralis",NA,"X"
"Lactuca.oleracea",NA,"X"
"Lactuca.sativa","X","X"
"Lactuca.serriola","X","X"
"Lactuca.sp.","X",NA
"Lactuca.virosa","X","X"
"Lamium.album","X","X"
"Lamium.amplexicaule","X","X"
"Lamium.galeobdolon","X","X"
"Lamium.hybridum",NA,"X"
"Lamium.maculatum","X","X"
"Lamium.purpureum","X","X"
"Lamium.sp.","X","X"
"Lamprocapnos.sp.abilis","X",NA
"Lapsana.communis",NA,"X"
"Lathyrus.latifolius","X","X"
"Lathyrus.odoratus","X",NA
"Lathyrus.pratensis",NA,"X"
"Lathyrus.sp.","X","X"
"Lathyrus.tuberosus","X","X"
"Laurus.nobilis","X",NA
"Lavandula.angustifolia","X","X"
"Lavandula.officinalis","X",NA
"Lavandula.sp.","X",NA
"Lavandula.stoechas","X",NA
"Lavendula.sp.","X",NA
"Lemna.minor","X",NA
"Lemna.sp.","X","X"
"Leontodon.hispidus",NA,"X"
"Leonurus.cardiaca","X","X"
"Lepidium.campestre",NA,"X"
"Lepidium.hirtum",NA,"X"
"Lepidium.latifolium","X","X"
"Lepidium.sativum","X","X"
"Lepidium.sp.","X","X"
"Leucanthemum.maximum","X",NA
"Leucanthemum.paludosum","X",NA
"Leucanthemum.sp.","X","X"
"Leucanthemum.vulgare","X","X"
"Levisticum.officinale","X",NA
"Liatris.spicata","X",NA
"Ligularia.dentata","X",NA
"Ligustrum.vulgare","X","X"
"Lilium.bulbiferum","X",NA
"Lilium.regale","X",NA
"Lilium.sp.","X",NA
"Limonium.sinuatum","X",NA
"Linaria.alpina",NA,"X"
"Linaria.purpurea","X","X"
"Linaria.sp.","X","X"
"Linaria.vulgaris","X","X"
"Linum.grandiflorum","X","X"
"Linum.perenne","X",NA
"Linum.purpureum",NA,"X"
"Linum.sp.","X","X"
"Linum.usitatissimum","X","X"
"Lipandra.polysperma",NA,"X"
"Liriodendron.tulipifera",NA,"X"
"Lithospermum.officinale","X","X"
"Lithospermum.sp.","X",NA
"Lobelia.sp.","X",NA
"Lobularia.maritima","X","X"
"Lonicera.fragrantissima","X",NA
"Lonicera.xylosteum",NA,"X"
"Lotus.corniculatus",NA,"X"
"Lotus.sp.",NA,"X"
"Lotus.tenuis",NA,"X"
"Lunaria.annua","X","X"
"Lunaria.sp.","X",NA
"Lupinus.hartwegii","X",NA
"Lupinus.polyphyllus","X",NA
"Lupinus.sp.","X","X"
"Luzula.campestris","X",NA
"Lychnis.coronaria","X",NA
"Lychnis.sp.","X","X"
"Lysimachia.nummularia","X","X"
"Lysimachia.punctata","X",NA
"Lysimachia.thrysiflora","X",NA
"Lythrum.salicaria","X","X"
"Lythrum.sp.","X",NA
"Maclura.pomifera","X",NA
"Mahonia.aquifolium","X","X"
"Malcolmia.africana","X",NA
"Malephora.crocea","X",NA
"Malus.domestica","X",NA
"Malva.alcea","X","X"
"Malva.arborea","X",NA
"Malva.moschata","X","X"
"Malva.neglecta",NA,"X"
"Malva.parviflora",NA,"X"
"Malva.sp.","X","X"
"Malva.sylvestris","X","X"
"Malva.verticillata","X","X"
"Marrubium.sp.",NA,"X"
"Marrubium.vulgare",NA,"X"
"Matricaria.chamomilla","X","X"
"Matricaria.discoidea",NA,"X"
"Matricaria.sp.","X","X"
"Medicago.lupulina","X","X"
"Medicago.minima",NA,"X"
"Medicago.polymorpha",NA,"X"
"Medicago.sativa","X","X"
"Medicago.sp.",NA,"X"
"Medicago.x.varia",NA,"X"
"Medicago.x_varia",NA,"X"
"Melilotus.albus","X","X"
"Melilotus.officinalis",NA,"X"
"Melilotus.sp.",NA,"X"
"Melissa.officinalis","X","X"
"Mentha.aquatica","X","X"
"Mentha.arvensis","X","X"
"Mentha.longifolia","X","X"
"Mentha.piperita","X","X"
"Mentha.sp.","X","X"
"Mentha.spicata","X","X"
"Mentha.suaveolens","X",NA
"Mentha.x.piperita","X","X"
"Mentha.x.rotundifolia","X",NA
"Mentha.x.villosa","X",NA
"Menyanthes.trifoliata","X",NA
"Mirabilis.jalapa","X",NA
"Monarda.didyma","X",NA
"Monarda.fistulosa","X",NA
"Muehlenbeckia.complexa","X",NA
"Muscari.botryoides","X",NA
"Muscari.sp.","X","X"
"Mycelis.muralis",NA,"X"
"Myosotis.arvensis","X","X"
"Myosotis.sp.","X","X"
"Myosotis.sylvatica","X",NA
"Myriophyllum.sp.","X",NA
"Myriophyllum.spicatum","X",NA
"Myrrhis.odorata","X",NA
"Narcissus.cyclamineus","X",NA
"Narcissus.pseudonarcissus","X",NA
"Narcissus.sp.","X",NA
"Narcissus.tazetta","X",NA
"Nasturtium.officinale","X","X"
"Nasturtium.sp.",NA,"X"
"Nelumbo.sp.",NA,"X"
"Nepeta.cataria","X","X"
"Nepeta.faassenii","X",NA
"Nepeta.racemosa","X",NA
"Nepeta.sp.","X","X"
"Nepeta.x.faassenii","X",NA
"Nicandra.physalodes","X","X"
"Nicotiana.tabacum","X",NA
"Nigella.damascena","X","X"
"Nuphar.lutea","X",NA
"Nymphaea.alba","X",NA
"Nymphoides.peltata","X",NA
"Ocimum.basilicum","X",NA
"Ocimum.canum","X",NA
"Ocimum.kilimandscharicum_x.basilicum","X",NA
"Oenanthe.aquatica","X",NA
"Oenothera.biennis","X","X"
"Oenothera.sp.","X","X"
"Onobrychis.viciifolia","X",NA
"Onopordum.acanthium","X","X"
"Origanum.majorana","X","X"
"Origanum.sp.","X","X"
"Origanum.vulgare","X","X"
"Ornithopus.sativus","X",NA
"Osteospermum.fruticosum","X",NA
"Osteospermum.sp.","X",NA
"Oxalis.acetosella",NA,"X"
"Oxalis.articulata","X",NA
"Oxalis.corniculata","X","X"
"Oxalis.dillenii",NA,"X"
"Oxalis.sp.","X","X"
"Oxalis.stricta","X","X"
"Oxalis.tetraphylla","X",NA
"Oxalis.triangularis",NA,"X"
"Oxalis.tuberosa","X",NA
"Oxyria.digyna","X",NA
"Paeonia.japonica","X",NA
"Paeonia.lactiflora","X",NA
"Paeonia.lutea","X",NA
"Paeonia.mascula","X",NA
"Paeonia.officinalis","X",NA
"Paeonia.sp.","X",NA
"Paeonia.suffruticosa","X",NA
"Pallenis.maritima","X",NA
"Papaver.dubium",NA,"X"
"Papaver.orientale","X","X"
"Papaver.rhoeas","X","X"
"Papaver.somniferum","X","X"
"Papaver.sp.","X","X"
"Parietaria.judaica",NA,"X"
"Parietaria.officinalis",NA,"X"
"Parietaria.pensylvanica",NA,"X"
"Parthenocissus.quinquefolia","X","X"
"Pastinaca.sativa","X","X"
"Perilla.frutescens","X","X"
"Persicaria.lapathifolia",NA,"X"
"Persicaria.maculosa","X","X"
"Persicaria.orientalis","X",NA
"Persicaria.sp.",NA,"X"
"Petasites.sp.","X",NA
"Petroselinum.crispum","X","X"
"Peucedanum.oreoselinum",NA,"X"
"Phacelia.sp.","X","X"
"Phacelia.tanacetifolia","X","X"
"Phaseolus.coccineus","X",NA
"Phaseolus.sp.","X",NA
"Phaseolus.vulgaris","X","X"
"Phedimus.aizoon","X",NA
"Phedimus.spurius","X","X"
"Phlomis.russeliana",NA,"X"
"Phlomis.tuberosa","X",NA
"Phlox.paniculata","X","X"
"Phlox.sp.","X","X"
"Phlox.subulata","X",NA
"Physalis.alkekengi","X","X"
"Physalis.peruviana","X","X"
"Physalis.philadelphica","X",NA
"Physalis.pruinosa","X",NA
"Physalis.sp.","X",NA
"Physostegia.virginiana","X","X"
"Picris.hieracioides",NA,"X"
"Pilosella.officinarum",NA,"X"
"Pimpinella.saxifraga","X","X"
"Pinus.sp.",NA,"X"
"Pinus.sylvestris",NA,"X"
"Pippau.nicaeensis",NA,"X"
"Pisum.sativum","X","X"
"Pisum.sp.","X",NA
"Plantago.coronopus","X","X"
"Plantago.lanceolata","X","X"
"Plantago.major","X","X"
"Plantago.media",NA,"X"
"Plantago.sp.",NA,"X"
"Platycodon.grandiflorus","X",NA
"Polemonium.caeruleum","X",NA
"Polemonium.reptans","X",NA
"Polygonum.aviculare","X","X"
"Polygonum.sp.",NA,"X"
"Populus.nigra",NA,"X"
"Populus.sp.",NA,"X"
"Porophyllum.ruderale",NA,"X"
"Portulaca.oleracea","X","X"
"Potentilla.anserina","X","X"
"Potentilla.argentea",NA,"X"
"Potentilla.erecta","X",NA
"Potentilla.indica","X","X"
"Potentilla.recta",NA,"X"
"Potentilla.reptans","X","X"
"Potentilla.sp.",NA,"X"
"Prenanthes.purpurea",NA,"X"
"Primula.acaulis","X",NA
"Primula.elatior","X",NA
"Primula.sp.","X","X"
"Primula.veris","X",NA
"Primula.vulgaris","X","X"
"Prunella.grandiflora","X","X"
"Prunella.sp.","X","X"
"Prunella.vulgaris","X","X"
"Prunus.cerasifera",NA,"X"
"Prunus.domestica",NA,"X"
"Prunus.laurocerasus","X",NA
"Prunus.persica","X","X"
"Prunus.sp.",NA,"X"
"Prunus.spinosa","X",NA
